"v_model_name","v_model_id"
"Activa 125 BS6","1044"
"TMX 125","1065"
"CBR300R","1076"
"CB500X","1078"
"CB650R","1086"
"Activa 6G","1088"
"Forza 300","1090"
"Flow","1092"
"X Town 300I","1093"
"Like EV","1094"
"iFlow","1095"
"Like200","1096"
"Dorsoduro 900","1120"
"Tuono 150","1123"
"RS 150","1124"
"RS 660","1127"
"RS250","1129"
"S340","1130"
"Xero Plus","1132"
"Trend E","1133"
"Retrosa","1134"
"E Bike","1135"
"E Plus","1136"
"E Lite","1137"
"E Magic","1138"
"E Scoot","1139"
"E Mate","1140"
"E Star","1142"
"Platina 110","1143"
"Avenger Street 220","1148"
"Bajaj Pulsar 200 Ns","1154"
"Pulsar Rs 200","1159"
"Pulsar AS 200","1160"
"Pulsar Ss 400","1167"
"Avenger Cruise 220","1177"
"Chetak","1183"
"Eeco","1184"
"Pulsar 250","1211"
"Dominar 400 2019","1214"
"Pulsar 150 Single Disc","1221"
"Pulsar 125 Neon","1224"
"Chetak","1227"
"Electric Scooter","1228"
"TRK 502","1237"
"Imperiale 400","1242"
"402 S","1246"
"752 S","1247"
"302 S","1248"
"502 C","1250"
"K9 Red Chopper","1251"
"S 1000 Rr","1258"
"S 1000 R","1267"
"S 1000 XR","1268"
"R 1250 GS","1277"
"R 1250 GS Adventure","1279"
"R 1250 R","1281"
"250Nk","1284"
"250SR","1290"
"300SR","1292"
"Ace","1294"
"Misfit","1295"
"Xdiavel","1306"
"Multistrada 950","1325"
"Scrambler Desert Sled","1327"
"Panigale V4","1328"
"Scrambler 1100","1329"
"Diavel 1260","1331"
"Model 1","1346"
"Two","1347"
"Iron 883","1349"
"Forty Eight","1358"
"Street Glide Special","1360"
"Road King","1366"
"Fat Boy 114","1368"
"Road Glide Special","1380"
"Iron 1200","1386"
"Streetfighter 975","1387"
"LiveWire","1388"
"Pan America 1250","1389"
"Custom 1250","1390"
"Electra Glide Standard","1391"
"350","1392"
"Photon","1398"
"NYX","1403"
"Photon 48V","1411"
"Optima E5","1412"
"Flash LA","1413"
"Flash LI","1414"
"Optima LA","1415"
"Optima Li","1416"
"Photon 72 Li","1417"
"Optima HS500 ER","1418"
"NYX HS500 ER","1419"
"Vitpilen","1420"
"Svartpilen","1421"
"Scout","1433"
"Roadmaster","1434"
"Electron Er","1451"
"Xplor","1453"
"Yo Edge","1460"
"JAWA Perak","1463"
"Forty Two","1464"
"Ninja 300","1465"
"Ninja 1000","1468"
"Ninja H2","1473"
"KLX 110","1475"
"Versys 650","1476"
"Vulcan S","1477"
"Ninja 650","1481"
"Z650","1489"
"Z900","1490"
"Z 900","1491"
"KX 100","1493"
"KX 250","1494"
"KLX 140","1497"
"KX 450F","1498"
"KLX 450R","1499"
"Z900","1502"
"Versys 1000","1507"
"Ninja Zx10Rr","1508"
"W800 Street","1509"
"Xone","1510"
"Xgtkm","1511"
"X2 Vogue","1512"
"Super","1513"
"Duke 200","1515"
"390 Duke ABS","1519"
"390 Duke","1529"
"Duke 250","1537"
"Duke 125","1540"
"V125","1542"
"V200","1543"
"E Zephyr Sst","1544"
"Glide SST","1545"
"Essentia SST","1546"
"E Zephyr","1547"
"Glide Unisex","1548"
"Glide Lady","1549"
"Essentia","1550"
"Townmaster","1551"
"Oma","1553"
"Genius","1554"
"Oma Star Li","1555"
"Gusto 125","1572"
"Griso 1200 8V","1582"
"California 1400","1583"
"V9","1586"
"Mgx 21","1592"
"Eldorado","1593"
"Raise","1610"
"Angel","1612"
"Sunshine","1613"
"Princess","1614"
"Spyker","1615"
"Ryan","1616"
"Polarity Smart Sport","1624"
"Executive","1625"
"RV400","1627"
"RV300","1628"
"RV Cafe Racer","1629"
"Royal_Enfield_Taurus","1658"
"Interceptor 650","1660"
"Continental GT 650","1662"
"Classic350","1672"
"Thunderbird350","1673"
"Meteor","1676"
"2020 Thunderbird 350X","1677"
"Hayabusa","1685"
"V Storm","1694"
"Access 125","1711"
"V Strom 650 XT","1722"
"2019 Gixxer","1728"
"Intruder 250","1729"
"Superdual T","1733"
"Raptor","1734"
"Emerge","1735"
"Electra Neo","1736"
"T6X","1739"
"Street Triple ABS","1742"
"Bonneville T120","1747"
"Thruxton","1748"
"Bonneville T100","1751"
"Speed Twin 900","1752"
"Thruxton R","1754"
"Tiger 1200","1771"
"Speed Twin","1773"
"Jupiter","1792"
"Tvs Scooty Streak","1802"
"Zeppelin","1832"
"eSpa","1841"
"eGo DB Li","1842"
"eGo T3","1843"
"eSpa Li","1844"
"Adventure TT","1860"
"DSR Adventure 200","1861"
"Typhoon","1865"
"Liberty 3V","1868"
"VXL 150","1869"
"SXL 125","1874"
"VXL 125","1875"
"VXL 125","1880"
"SXL 125","1881"
"GTS Super 125","1883"
"Elettrica","1884"
"Notte 125","1885"
"ZX 125","1887"
"Urban Club","1888"
"Crux","1894"
"Fazer","1903"
"NMax 155","1940"
"YZF R3","1967"
"Fz Fi Version 3","1973"
"Fz S Fi Version 3","1974"
"XSR155","1975"
"Bsa Motors Roamer","1989"
"Impulse","2004"
"Achiever","2013"
"Passion Xpro","2017"
"Duet","2033"
"Maestro Edge","2034"
"XF3R","2041"
"Splendor Pro Black Alloy","2044"
"Karizma R","2045"
"XPulse 200T","2059"
"Pleasure 2019","2060"
"Spock Electric Scooter","2131"
"300","2136"
"M200","2161"
"H200","2162"
"Honda Dio","2209"
"Star City Plus","2211"
"Tvs Scooty Pep Plus","2213"
"Honda Activa 5G","2216"
"Pulsar 150","2222"
"Tvs Wego","2226"
"Sport","2235"
"Honda Aviator","2236"
"Avenger","2257"
"Bullet 350","2259"
"Thunderbird 350","2261"
"Vespa Elegante","2262"
"Dream Yuga","2263"
"Hayabusa","2270"
"Mahindra Duro","2272"
"Mahindra Sym Flyte","2273"
"Iron 883","2284"
"Mahindra Kine","2295"
"E Bike","2303"
"Avon E Plus","2305"
"Avon E Lite","2306"
"Gt","2321"
"200 Duke","2322"
"Mojo","2328"
"Rsv 4","2334"
"Victor","2343"
"TUONO","2348"
"Forty Eight","2353"
"Classic 500","2355"
"Hero Maestro","2357"
"Street Triple","2359"
"Tiger 800","2361"
"Bonneville","2364"
"Gv250","2370"
"Gv650","2371"
"HF Deluxe","2383"
"Hero Pleasure","2384"
"Splendor","2385"
"Avon E Mate","2398"
"Centuro","2402"
"Dream Neo","2415"
"Honda Activa I","2420"
"Tvs Jupiter","2424"
"Street 750","2425"
"RC 200","2429"
"Ninja 1000","2430"
"GD","2431"
"S 1000 RR","2433"
"R 1200 R","2434"
"K 1600","2435"
"Griso 1200 8V","2441"
"California 1400","2444"
"Yamaha Alpha","2448"
"Hero Electric Dash","2452"
"Gold Wing","2458"
"Vespa 946 Emporio Armani Edition","2461"
"Hero Dare","2463"
"Tvs Scooty Zest","2470"
"Passion Pro","2474"
"R Nine T","2484"
"TNT 302","2489"
"TNT 600","2490"
"CVO","2493"
"CBR 1000 Rr","2495"
"Unicorn","2498"
"Roadmaster","2507"
"Super Splendor","2508"
"Scrambler","2511"
"Xtreme Sports","2512"
"Ninja H2","2522"
"Saluto","2525"
"Indus Yo Electron","2526"
"Discover 125","2531"
"Yamaha Fascino","2535"
"GSX S1000","2536"
"Pulsar 220","2539"
"Classic 350","2541"
"Bullet 500","2543"
"Livo","2544"
"GT 650R","2546"
"Vespa Vxl 150","2568"
"Vespa Sxl 150","2569"
"Bonneville T100","2575"
"KLX 110","2598"
"Apache RTR 180","2601"
"Duke 390","2603"
"Avenger Cruise 220","2606"
"Versys 650","2607"
"Vulcan S","2609"
"G 310 R","2613"
"Panigale","2615"
"Xdiavel","2616"
"Tornado 302","2617"
"GT300R","2618"
"Gixxer 250","2619"
"TRK 502","2626"
"Leoncino","2627"
"Palatino Princess","2630"
"Palatino Spyker","2631"
"Palatino Ryan","2632"
"1200 Custom","2633"
"Aquila GV300","2634"
"V","2636"
"Navi","2638"
"Mahindra Genze 2 0","2640"
"Aprilia SR 150","2641"
"CRF 1000L Africa Twin","2643"
"XF3R","2644"
"TVS Entorq 210","2651"
"Lohia Oma Star Li","2653"
"V9","2661"
"Ninja ZX 14R","2669"
"Ninja 650","2670"
"Vespa LX 125","2673"
"Suzuki Access 125","2675"
"Springfield","2697"
"RC 125","2727"
"Road King","2770"
"Fat Boy","2772"
"Fat Bob","2774"
"Roadster","2778"
"Speedmaster","2798"
"Monster 821","2807"
"R 1200 RT","2840"
"Pulsar 150 Ns","2844"
"T6X","2847"
"Mgx 21","2848"
"Z 650","2849"
"Street Scrambler","2851"
"G 310 GS","2852"
"Z 900","2854"
"K9 Red Chopper","2856"
"KX 100","2861"
"KX 250 F","2862"
"Glamour 2017","2866"
"Xtreme 200R","2867"
"Duke 250","2872"
"Okinawa Ridge","2873"
"Street Rod","2874"
"Bonneville Bobber","2875"
"S 1000 R","2877"
"S 1000 XR","2878"
"R 1200 Gsa","2879"
"R 1200 Rs","2880"
"Ampere V48","2881"
"Chieftain Dark Horse","2882"
"Vespa Elegante 150","2883"
"Vespa Vxl 125","2884"
"Vespa Sxl 125","2885"
"Superdual T","2887"
"Aprilia Sr 150 Race","2888"
"Monster 797","2889"
"Multistrada 950","2890"
"Shiver 900","2891"
"Dorsoduro 900","2892"
"Street Bob","2893"
"Road Glide Special","2895"
"Heritage Softail Classic","2896"
"Honda Cliq","2898"
"SuperSport","2902"
"Scout Bobber","2904"
"Desert Sled","2905"
"Vitpilen","2906"
"Svartpilen","2907"
"Vespa Red 125","2908"
"KX 450F","2910"
"KLX 450R","2911"
"Roadmaster Classic","2912"
"Honda Grazia","2914"
"Intruder 150","2916"
"Interceptor 650","2917"
"Continental GT 650","2919"
"R NineT Racer","2923"
"F 850 GS","2925"
"Tiger 1200","2926"
"Scrambler 1100","2928"
"Imperiale 400","2929"
"Multistrada 1260","2930"
"Okinawa Praise","2931"
"Aprilia Sr 125","2932"
"Discover 110","2934"
"Thunderbird 500X","2935"
"Thunderbird 350X","2936"
"Ninja 400","2940"
"Suzuki Burgman Street","2941"
"F 750 GS","2944"
"GSX R1000R","2949"
"Mojo UT300","2951"
"22Kymco Flow","2953"
"Hero Electric Axlhe 20","2954"
"A2B","2955"
"Creon","2958"
"Zeppelin","2959"
"Aprilia Storm","2960"
"XBlade","2964"
"Hero Maestro Edge 125","2966"
"Hero Duet 125","2967"
"XPulse 200","2968"
"Model 1","2969"
"V Strom 650","2970"
"Turbo","2973"
"Skipper","2974"
"Royal Plus","2975"
"Scorpion","2976"
"Zontes","2977"
"YZF R3","2980"
"CBR 250 R","2981"
"Chief Dark Horse","2984"
"Springfield Dark Horse","2986"
"Chieftain Classic","2987"
"Chieftain Limited","2988"
"Deluxe","2989"
"Low Rider","2990"
"Fat Boy Anniversary","2991"
"Passion Pro 110","2993"
"K 1600 B","2995"
"Avon E-Star","2996"
"Indus Yo Edge","2999"
"Honda Activa 4G","3000"
"Hero Electric Nyx E5","3001"
"Apache 160","3002"
"Forty Eight Special","3004"
"Ather Electric 450","3006"
"TRK 251","3013"
"Leoncino 250","3019"
"Chieftain Elite","3020"
"Hero Destini 125","3023"
"Radeon","3024"
"Ampere Reo","3025"
"HPS 300","3026"
"Scrambler 1200","3027"
"R 1250 GS","3030"
"R 1250 RT","3031"
"FTR 1200","3033"
"TVS Jupiter Grande","3035"
"790 Duke","3036"
"Avan Xero Plus","3037"
"125 Duke","3038"
"Ninja Zx 6R","3040"
"Jawa","3041"
"Diavel 1260","3042"
"Z400","3043"
"Perak","3045"
"Jawa 42","3046"
"Versys 1000","3047"
"XPulse 200T","3049"
"Speed Twin","3053"
"Honda Activa 3G","3054"
"Okinawa I Praise","3057"
"Lambretta V125","3058"
"Lambretta V200","3059"
"Mt 15","3063"
"R 1250 GS Adventure","3065"
"Fz Fi Version 3","3066"
"Fz S Fi Version 3","3067"
"CBR650R","3069"
"Hypermotard 950","3071"
"Daytona 765","3073"
"ZH2","3081"
"Challenger","3089"
"M2Go Civitas","3090"
"M2Go X1","3091"
"Lambretta G Special Electric Scooter","3102"
"Husqvarna Norden 901","3104"
"2020 Z900","3108"
"SP 125","3109"
"Tiger 900","3110"
"Crayon Zeez","3112"
"Crayon Envy","3115"
"Apache RTR 160 4V","3116"
"Tvs Apache Rtr 200 4V","3117"
"Tvs Jupiter","3118"
"Tvs Apache Rtr 160 ","3121"
"Husqvarna Vitpilen 250","3123"
"Husqvarna Svartpilen 250","3124"
"Orxa Mantis","3125"
"Yamaha Yzf R15 V3 Bs6","3126"
"Husqvarna Svartpilen 200","3128"
"Yamaha Fzs Fi V3 Bs6","3129"
"Tvs Radeon Bs6","3131"
"Yamaha Rayzr 125","3136"
"Himalayan","3138"
"Ampere Reo Elite","3139"
"Merico Eagle 100 4 8","3144"
"Merico Eagle 100 6 0","3145"
"Merico Fashia","3146"
"Merico Evanka","3147"
"Merico Speedstar","3148"
"Benelli Trk800","3153"
"Battre Electric Loev","3158"
"Battre Electric Iot","3163"
"Everve Electric Scooter","3164"
"Ujaas Ego Li","3166"
"Ujaas Ezy","3167"
"SXR160","3172"
"Bird Electric Scooter","3179"
"Platina 100","3182"
"Avenger Street 160","3185"
"Pulsar NS160","3188"
"Pulsar NS200","3189"
"Pulsar RS200","3190"
"Dominar 250","3191"
"Gixxer SF 250","3192"
"Gixxer 250","3193"
"Gixxer SF","3194"
"Gixxer 150","3195"
"Burgman Street","3196"
"HF Deluxe","3197"
"Splendor Plus","3198"
"Glamour","3200"
"Pleasure Plus","3201"
"Maestro Edge 125","3202"
"Super Splendor","3204"
"Passion Pro","3205"
"Xpulse 200 BS6","3206"
"FZS FI BS6","3207"
"FZ FI V3","3208"
"FZS 25","3210"
"Xtreme 160R BS6","3213"
"CD 110 Dream","3228"
"Bullet 350","3235"
"Africa Twin","3237"
"Shine","3238"
"Unicorn","3239"
"Activa 125","3240"
"Activa","3241"
"Dio","3242"
"Scooty Pep Plus","3243"
"XL 100","3244"
"Sport","3245"
"Star City+","3246"
"Radeon","3247"
"Apache RTR 200 4V","3248"
"Apache RTR 180","3249"
"Apache RR 310","3251"
"XBlade","3258"
"Meteor 350","3266"
"Hness CB350","3274"
"Vitpilen 250","3276"
"Svartpilen 250","3277"
"Hornet 2.0","3286"
"Astrid Lite","4870"
"Oma Star","4872"
"Oma Star Li","4873"
"Drift","4879"
"PraisePro","4880"
"R30 electric scooter","4881"
"Ridge","4882"
"Lite","4883"
"Aura","4884"
"Falcon","4885"
"Kriti","4886"
"ETrance NEO","4889"
"RV 400","4890"
"Mini Lithino","4895"
"Sport 63 Mini","4898"
"Sport 63 Mid","4899"
"B8","4901"
"Edge","4905"
"Spock Electric Scooter","4906"
"Livo","5008"
"Ryder","5009"
"XGT KM","5172"
"E Scoot","5178"
"E Lite","5179"
"E Mate","5180"
"E Plus","5182"
"Scooty Zest 110","5446"
"NTORQ 125","5447"
"CB300R","5449"
"CB350 RS","5638"
"FZ 25","5656"
"Xtreme 200S","5657"
"iQube Electric","5674"
"Mojo 300 BS6","5675"
"Scrambler 800","5676"
"Panigale V2","5677"
"R 1250 RT","5682"
"F 900 XR","5683"
"R 18","5684"
"F 900 R","5685"
"G 310 GS","5686"
"G 310 R","5687"
"Adventure 250","5688"
"KLX 450R","5690"
"KLX 110","5693"
"Z650","5694"
"Speed Triple 1200","5695"
"Bonneville Speedmaster","5696"
"Tiger 850 Sport","5697"
"Rocket 3","5698"
"Storm 125","5699"
"Miso","5702"
"Leoncino 500","5703"
"Easy Plus","5945"
"Hope","5946"
"CB500X","5947"
"Ninja ZX 10 R","5948"
"MX3","5949"
"M 1000 RR","5950"
"CBR650R","5951"
"Pulsar NS 125","6470"
"Streetfighter V4","6474"
"SXR 125","6475"
"Pan America 1250","6476"
"Heritage Classic BS6","6477"
"Fat Bob 114 BS6","6478"
"Thunderbolt","6483"
"O3","6485"
"GT5","6486"
"Scrambler 900","6545"
"Bonneville Bobber","6546"
"Panigale V4","6687"
"Hunter 350","6800"
"Classic 350","6801"
"RC 200","6803"
"RC 390","6804"
"SE","6805"
"Ninja H2R","6806"
"Ninja 400","6808"
"Ninja H2 SX","6809"
"W175","6810"
"Chief Bobber Dark Horse","6816"
"Super Chief Limited","6817"
"2023 Bullet 350","6821"
"FZ-X","6822"
"Gold Wing","6920"
"CT 110X BS6","6995"
"Wolfury","7475"
"Finesse","7476"
"Elite","7477"
"Quanta","7478"
"LYF","7479"
"Leo","7480"
"650 MT","7481"
"650 NK","7482"
"650 GT","7483"
"502 C","7493"
"TN-95","7495"
"XGT X-ONE","7496"
"X2 Vogue","7497"
"Super","7498"
"M-5","7499"
"300 NK","7500"
"ETrance Plus","7501"
"iPraise","7502"
"Dual","7503"
"Hurricane","7504"
"Beast","7505"
"Inspirer","7507"
"Jaunty","7508"
"S1","7509"
"Atria","7510"
"CBR1000RR-R","7512"
"CB650R","7514"
"Pulsar 125 Split Seat","7515"
"Fascino 125 Fi Hybrid","7520"
"Nexa","7522"
"Queen SX","7523"
"Enduro","7524"
"Smarty","7525"
"Queen","7526"
"R15 V4","7528"
"Multistrada V4","7529"
"Pulsar F250","7532"
"Pulsar N250","7533"
"C 400 GT","7543"
"Simple One","7545"
"XGT X5","7550"
"Ride","7551"
"Axis","7552"
"Connect","7553"
"Pulsar 150 Twin Disc","7556"
"CB 200X","7558"
"G1","7563"
"City","7564"
"City-1","7565"
"V4 Max","7567"
"V4 XL","7568"
"V4 Mist","7569"
"V4 Eagle","7570"
"GEN NXT Nanu E-Scooter","7571"
"Wolf","7572"
"Glob","7573"
"RS 660","7575"
"Tuono V4","7576"
"RSV4","7577"
"Tuono 660","7578"
"V85 TT","7579"
"KX 450","7580"
"KX 250","7581"
"NX 120","7582"
"RayZR 125 Fi Hybrid","7584"
"Super Sport 950","7585"
"Raider 125","7590"
"R15 M","7607"
"RayZR 125 Fi-Hybrid Street Rally","7608"
"Aerox 155","7609"
"Drixx","7612"
"Monster","7614"
"Jupiter 125","7617"
"Xpulse 200 4V","7618"
"Xpulse 200 4V","7619"
"Trident 660","7620"
"Xpulse 200 4V","7621"
"Trident 660","7622"
"Xpulse 200 4V","7623"
"Trident 660","7624"
"Xpulse 200 4V","7625"
"Trident 660","7626"
"Xpulse 200 4V","7627"
"Trident 660","7628"
"Xpulse 200 4V","7629"
"Trident 660","7630"
"Xpulse 200 4V","7631"
"Xpulse 200 4V","7632"
"Trident 660","7633"
"R NineT","7671"
"Hypermotard 950","7673"
"Strom ZX","7675"
"Storm ZX Advance 1","7676"
"Storm ZX Advance 2","7677"
"Roma S","7678"
"Lithino Li","7679"
"Dominar 400","7680"
"Z650 RS","7684"
"R NineT Scrambler","7685"
"Optima","7689"
"SR 160 BS6","7692"
"SR 125","7693"
"YZF R15S V3","7694"
"Avenis","7696"
"Harper","7698"
"eVespa","7700"
"Dhanno","7702"
"Polo","7703"
"Pony","7704"
"Derby","7705"
"ZOR 405","7709"
"Model 703","7710"
"Vidyut 108","7711"
"Infinity E1","7713"
"Scram 411","7714"
"Ranger","7717"
"TRK 251","7753"
"Sportster S","7771"
"Freedum","7772"
"ClassIQ","7773"
"Epluto 7G","7805"
"Leo Extended","7816"
"Magnus EX","7817"
"S1 Pro","7829"
"Zeal EX","7832"
"Soul","7839"
"Apache RP 165","7856"
"Electa","7900"
"Commuta","7901"
"Byka","7902"
"Kridn","7903"
"SA 1000","7904"
"SA 2000","7905"
"X1","7906"
"Civitas","7907"
"Glyde Plus","7908"
"ZX EV","7909"
"NPS Cargo","7910"
"T1","7912"
"S 2","7914"
"VEV 01","7917"
"VIO","7918"
"Retrosa","7919"
"Yuvee","7920"
"Shiga","7921"
"Galaxy","7922"
"Electrica","7923"
"LoEV","7924"
"IOT","7925"
"One","7926"
"GPSIE","7927"
"eGo LA","7928"
"eSPA LA","7929"
"eGo T3","7930"
"eSPA Li","7931"
"eGo Li","7932"
"Evoqis","7933"
"Racer","7934"
"Hawk","7935"
"E2Go","7936"
"Zeez","7937"
"Envy","7938"
"Eagle","7939"
"Fly","7940"
"Tuff","7941"
"Zoom","7942"
"Bold","7943"
"Raptor","7944"
"Emerge","7945"
"Neo EV","7946"
"Saathi","7947"
"Intercity Neo","7948"
"Kollegio Neo","7949"
"Kollegio Plus","7950"
"Aetos 100","7951"
"Hermes 75","7952"
"Eagle-100 (4.8)","7953"
"Eagle-100 (6.0)","7954"
"Fashia","7955"
"Evanka","7956"
"Speedstar","7957"
"Super Meteor 650","7959"
"Adventure","7964"
"Scrambler","7965"
"Panigale V4 SP2","7967"
"X440","7977"
"F 850 GS Adventure","7978"
"Katana","7982"
"Multistrada V2","7983"
"Kratos","7985"
"Tiger Sport 660","7995"
"F77","8017"
"Glamour Xtec","8018"
"HF 100","8021"
"Faast 4","8022"
"eZy","8023"
"Evolve Z","8025"
"Evolve R","8026"
"KM 3000","8027"
"KM 4000","8028"
"Kollegio","8029"
"Intercity Aeolus","8030"
"Xeniaa","8031"
"Wind","8033"
"Ahava","8035"
"Atreo","8036"
"Roadster","8037"
"E - STAR","8038"
"Legend","8061"
"Venice","8062"
"OKHI 90","8063"
"Rider","8065"
"Rider Super","8066"
"Avant","8067"
"Armour","8068"
"EV Rorr","8069"
"Beamer","8070"
"V1","8091"
"390 Adventure","8092"
"11 Pro","8095"
"11 Max","8096"
"11 Mini","8097"
"Jaunty Plus","8098"
"Green Zing","8100"
"Green Zoom","8101"
"Wolf Plus","8105"
"Gen Nxt Nanu Plus","8107"
"OXO","8147"
"Gracy","8393"
"Eeva ZX","8394"
"Eeva","8395"
"Gracy i","8396"
"Eddy","8434"
"Glide","8445"
"E110A","8483"
"EasyGo Plus","8486"
"Easy Go","8487"
"Future","8488"
"Loder","8489"
"Cutie","8490"
"S1","8493"
"Jeet","8494"
"TZ 3.3","8495"
"T 133","8496"
"DT 3000","8498"
"Prana","8535"
"Destini 125 XTEC","8537"
"RC 125","8545"
"V-Strom SX 250","8547"
"Posh","8548"
"Platina","8549"
"Mars","8550"
"MT 15  V2","8557"
"F 850 GS","8558"
"Storie","9026"
"Pulsar N160","9028"
"XGT-X3","9035"
"XGT Classic","9036"
"XGT VP","9037"
"XGT CAT 2.0","9038"
"V2","9099"
"V2 Plus","9100"
"D15","9101"
"Vieste 300","9102"
"Sixties 300i","9103"
"K-Light 250V","9104"
"Splendor Plus Xtec","9107"
"Cruzer R1","9250"
"Bumblebee","9251"
"LY","9252"
"Harper ZX","9254"
"Nightster","9256"
"eTryst 350","9257"
"G 310 RR","9265"
"390 Duke","9267"
"Pulsar P150","9278"
"Ronin 225","9300"
"Rise","9304"
"Streetfighter V2","9311"
"Passion XTec","9312"
"Atum Vader","9386"
"X-Cape","9450"
"GK 350","9453"
"Streetfighter V4 SP","9454"
"CZAR","9460"
"COMET","9461"
"COSMO EV","9462"
"450X","9477"
"S01+","9480"
"Plasma","9484"
"Elektron","9485"
"Milan","9486"
"Bziness","9487"
"Soul","9495"
"One","9496"
"CB300F","9497"
"Z900 RS","9498"
"CT 125X","9501"
"JeetX","9511"
"350T","9516"
"V302C","9527"
"K300 R","9528"
"K300 N","9529"
"Apache RTR 160","9531"
"URBN e-bike","9557"
"Prime","9558"
"One Plus","9559"
"Drive Pro","9560"
"Drive Plus","9561"
"Flying","9562"
"42 Bobber","9563"
"350R","9565"
"350X","9566"
"SR125","9569"
"Faast F2B","9571"
"SEIEMMEZZO 6","9572"
"S1 Air","9587"
"Jaunty-3W","9594"
"LXS","9595"
"Magnum Pro","9596"
"SRC 250","9604"
"SRV 300","9605"
"SRK 400","9606"
"SRC500","9607"
